ID;34
Name;Wiki-Einträge zu der Entfernung dynamischer und semi-dynamischer Objekte
Beschreibung;Als Maintainer*in möchte ich einen Überblick über die evaluierten Projekte zur Entfernung dynamischer und semi-dynamischer Objekte bekommen können.
Akzeptanzkriterium;Es sind alle relevanten Informationen zu den evaluierten Projekten für die Entfernung dynamischer und semi-dynamischer Objekte enthalten und der Arbeitgeber hat die Einträge gelesen und abgesegnet.
Geschätzter Aufwand (Story Points);5
Entwickler*innen;Alicia Gleichmann
Fertiggestellt in Iteration;8
Tatsächlicher Aufwand (h);15,5
Velocity (Story Points/h);0,32
Bemerkungen;
