ID;30
Name;"Hinzufügen eines ""Help""-Kommandos "
Beschreibung;Als Nutzer*in möchte ich vom Programm Auskunft über alle zur Verfügung stehenden Parameter sowie Eingabebeispiele erhalten.
Akzeptanzkriterium;"Das System erlaubt es mithilfe des CLI-Parameters ""--help"", die Namen aller Parameter mit einer Kurzbeschreibung sowie deren Standardwerte, sofern vorhanden, angezeigt zu bekommen."
Geschätzter Aufwand (Story Points);2
Entwickler*innen;Alicia Gleichmann
Fertiggestellt in Iteration;7
Tatsächlicher Aufwand (h);6,5
Velocity (Story Points/h);0,31
Bemerkungen;
