ID;7
Name;Dynamisches Anpassen von Ein- und Ausgabepfaden über CLI 
Beschreibung;Als Nutzer*in möchte ich den Ort, an dem ich die zu verarbeitenden Rosbags gespeichert habe und die bearbeiteten Daten ausgegeben bekommen möchte, angeben können, damit genau diese vom Programm erkannt und genutzt werden. 
Akzeptanzkriterium;Das System erlaubt es mithilfe zwei CLI-Parametern, die Eingabepfade und den Ausgabepfad anzugeben. 
Geschätzter Aufwand (Story Points);8
Entwickler*in;Alicia Gleichmann, Severin Pelikan
Fertiggestellt in Iteration;3
Tatsächlicher Aufwand (h);25
Velocity (Story Points/h);0,32
Bemerkungen;
