ID;33
Name;Wiki-Einträge zu den Erweiterungsschnittstellen des Programms
Beschreibung;Als Maintainer*in möchte ich eine detaillierte Beschreibung haben, wie neue Programmmodule über die vorgesehenen Schnittstellen hinzugefügt werden können, um das Programm einheitlich und effizient erweitern zu können.
Akzeptanzkriterium;Es sind alle relevanten Informationen zu den Erweiterungsschnittstellen des Programms enthalten und der Arbeitgeber hat die Einträge gelesen und abgesegnet.
Geschätzter Aufwand (Story Points);5
Entwickler*innen;Simon Riese, Alicia Gleichmann
Code Buddy;Greys Fankyeyeva
Fertiggestellt in Iteration;8
Tatsächlicher Aufwand (h);17,75
Velocity (Story Points/h);0,28
Bemerkungen;
