ID;31
Name;Wiki-Einträge zur Installation und Nutzung
Beschreibung;Als Nutzer*in möchte ich eine ausführliche Anleitung zur Installation und korrekten Benutzung des Programmes haben, um das Programm problemlos einrichten und bedienen zu können.
Akzeptanzkriterium;Es sind alle relevanten Informationen für die Installation und Nutzung des Programms enthalten und der Arbeitgeber hat die Einträge gelesen und abgesegnet.
Geschätzter Aufwand (Story Points);5
Entwickler*innen; Leonhard Steinecke
Code Buddy;Alicia Gleichmann 
Fertiggestellt in Iteration;8
Tatsächlicher Aufwand (h);16,25
Velocity (Story Points/h);0,3
Bemerkungen;
