ID;19
Name;Ausarbeitung von Grundkonzepten zur Entfernung semi-dynamischer Objekte
Beschreibung;Als Nutzer*in möchte ich, dass nicht nur dynamische Objekte entfernt werden, sondern auch semi-dynamische (Objekte, die in den Aufnahmen oft an denselben Stellen stehen, aber nicht verlässlicher Bestandteil der statischen Umgebung ist).
Akzeptanzkriterium;Finden einer für uns umsetzbaren Möglichkeit für die Entfernung semi-dynamischer Objekte
Geschätzter Aufwand (Story Points);3
Entwickler*innen;Simon Riese, Leonhard Steinecke
Code Buddy;Greys Fankyeyeva
Fertiggestellt in Iteration;6
Tatsächlicher Aufwand (h);7,75
Velocity (Story Points/h);0,39
Bemerkungen;Leider war es uns nicht möglich, eine zuverlässige Methode zur Entfernung für semi-dynamische Objekte zu finden, darum wurde die User Story nicht ins endgültige System übernommen. 
