ID;22
Name;Dynamisches Anpassen des Metadatenausgabeformats über CLI 
Beschreibung;Als Nutzer*in möchte ich auswählen können, in welchem Datenformat die Metadaten ausgegeben werden, um sie nach Nutzungszweck bestmöglich weiterverarbeiten zu können.
Akzeptanzkriterium;"Das System erlaubt es mithilfe eines CLI-Parameters, das Metadatenausgabeformat zu wählen.  Das bereits implementierte Metadatenausgabeformat ""JSON"" soll auswählbar und das Hinzufügen weiterer Ausgabeformate möglichst einfach sein."
Geschätzter Aufwand (Story Points);2
Entwickler*innen;Alicia Gleichmann
Fertiggestellt in Iteration;6
Tatsächlicher Aufwand (h);5,5
Velocity (Story Points/h);0,36
Bemerkungen;
