ID;3
Name;Integration von dynamischem Logging-System
Beschreibung;Als Nutzer*in ist es mir wichtig, alle relevanten Informationen zum Programmablauf in den Log-Nachrichten lesen zu können, um mögliche Anomalitäten erkennen und beheben zu können.
Akzeptanzkriterium;"Das Logging-System muss zu jeder Nachricht einen Erstellungszeitpunkt angeben sowie welcher Teil des Systems diese Nachrichten verfasst hat.
Zusätzlich muss das System zwischen unterschiedlichen Log-Levels unterscheiden und die Möglichkeit bieten, nach diesen zu filtern."
Geschätzter Aufwand (Story Points);5
Entwickler*in;Severin Pelikan
Fertiggestellt in Iteration;3
Tatsächlicher Aufwand (h);17,75
Velocity (Story Points/h);0,28
Bemerkungen;
