ID;35
Name;Wiki-Einträge für Code- und Stilrichtlinien
Beschreibung;Als Maintainer*in möchte ich wissen, welche Code- und Stilrichtlinien verwendet wurden, um das Programm einheitlich weiterentwickeln zu können.
Akzeptanzkriterium;Es sind alle relevanten Informationen zu den Code- und Stilrichtlinien enthalten und der Arbeitgeber hat die Einträge gelesen und abgesegnet.
Geschätzter Aufwand (Story Points);3
Entwickler*innen;Severin Pelikan
Fertiggestellt in Iteration;8
Tatsächlicher Aufwand (h);10
Velocity (Story Points/h);0,3
Bemerkungen;
