ID;26
Name;Erweiterung der Metadaten um Sensortypen und Rosbag-Topic
Beschreibung;Als Nutzer*in möchte ich nachvollziehen können, von welchem Sensortyp die Punktdaten aufgenommen wurden.
Akzeptanzkriterium;Die Metadaten ermöglichen es jedem Frame einen Sensortypen sowie den dazugehörigen Rosbag-Topic zuzuordnen. 
Geschätzter Aufwand (Story Points);2
Entwickler*innen;Simon Riese
Code Buddy;Leonhard Steinecke
Fertiggestellt in Iteration;7
Tatsächlicher Aufwand (h);11
Velocity (Story Points/h);0,18
Bemerkungen;
