ID;12
Name;Dynamisches Anpassen des Ausgabeformats über CLI 
Beschreibung;Als Nutzer*in möchte ich auswählen können, in welchem Datenformat die bearbeiteten Daten ausgegeben werden, um sie nach Nutzungszweck bestmöglich weiterverarbeiten zu können.
Akzeptanzkriterium;"Das System erlaubt es mithilfe eines CLI-Parameters, das Ausgabeformat zu wählen. Die bereits implementierten Ausgabeformate ""UOS"" und ""KITTI"" sollen auswählbar und das Hinzufügen weiterer Ausgabeformate möglichst einfach sein."
Geschätzter Aufwand (Story Points);2
Entwickler*in;Alicia Gleichmann
Fertiggestellt in Iteration;4
Tatsächlicher Aufwand (h);5,75
Velocity (Story Points/h);0,35
Bemerkungen;
