ID;2
Name;Geschwindigkeits-Entzerrung 
Beschreibung;Als Nutzer*in des Programms möchte ich, dass, selbst wenn die Scans bei einer hohen Geschwindigkeit aufgenommen werden, die Scanpunkte angemessen aufbereitet werden.
Akzeptanzkriterium;Man kann sichtlich erkennen, dass, wenn die Bahn mit hoher Geschwindigkeit (über 30 km/h) frontal auf ein Objekt zufährt, die Punkte nicht in Fahrtrichtung verschoben sind.
Geschätzter Aufwand (Story Points);8
Entwickler*in;Severin Pelikan
Fertiggestellt in Iteration;2
Tatsächlicher Aufwand (h);31,5
Velocity (Story Points/h);0,25
Bemerkungen;
