ID;11
Name;Docker Integration für Zielsystem
Beschreibung;Als Nutzer*in möchte ich ein Docker-Image haben, auf dem bereits alle für das Programm nötigen Pakete installiert und korrekt konfiguriert sind, um eine einfache Installation des Programms auf verschiedenen Endsystemen zu ermöglichen.
Akzeptanzkriterium;Das Docker-Image ist so konfiguiert, dass das Repository lediglich geklont und mit CMake gebuildet werden muss, um es ausführen zu können.
Geschätzter Aufwand (Story Points);3
Entwickler*in;Leonhard Steinecke
Fertiggestellt in Iteration;4
Tatsächlicher Aufwand (h);16,5
Velocity (Story Points/h);0,18
Bemerkungen;
