ID;21
Name;Dynamisches Anpassen der Zellengröße über CLI 
Beschreibung;Als Nutzer*in möchte ich die Seitenlänge der Zellen dynamisch anpassen können.
Akzeptanzkriterium;Das System erlaubt es, mithilfe eines CLI-Parameters, die Seitenlänge der Zellen in Metern anzugeben.
Geschätzter Aufwand (Story Points);1
Entwickler*innen;Alicia Gleichmann
Fertiggestellt in Iteration;6
Tatsächlicher Aufwand (h);1
Velocity (Story Points/h);1
Bemerkungen;
