ID;14
Name;Anpassung der Arbeitsspeicherauslastung über CLI 
Beschreibung;Als Nutzer*in möchte ich in der Lage sein, die Menge an auf einmal verarbeiteten Daten einzustellen, um die Arbeitsspeicherauslastung an mein System anzupassen.
Akzeptanzkriterium;Das System erlaubt es mithilfe eines CLI-Parameters, die Größe des Zeitraums an gleichzeitig verarbeiteten Sensordaten anzupassen und darüber die Arbeitsspeicherauslastung zu regeln.
Geschätzter Aufwand (Story Points);3
Entwickler*in;Alicia Gleichmann
Fertiggestellt in Iteration;4
Tatsächlicher Aufwand (h);11
Velocity (Story Points/h);0,27
Bemerkungen;Für das Entgegennehmen von Zeitparametern musste das Eingabesystem um ein Modul erweitert werden, was mit einem signifikanten Zeitaufwand verbunden war.
